"Id","ProcessName","Path","StartTime"
"4588","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9/8/2026 10:56:42 AM"
"7108","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9/8/2026 10:59:42 AM"
"9656","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9/8/2026 10:56:42 AM"
"9808","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9/8/2026 10:56:42 AM"
"9812","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9/8/2026 10:56:42 AM"
"11112","msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9/8/2026 10:56:42 AM"
"5464","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe","9/8/2026 11:12:51 AM"
"6280","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe","9/8/2026 10:52:56 AM"
"8276","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe","9/8/2026 10:52:56 AM"
"8668","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe","9/8/2026 10:52:57 AM"
"8680","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe","9/8/2026 10:52:57 AM"
"8736","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe","9/8/2026 10:52:57 AM"
"8744","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.97\msedgewebview2.exe","9/8/2026 10:52:57 AM"
"12836","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe","9/8/2026 11:12:50 AM"
"12872","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe","9/8/2026 11:12:50 AM"
"12924","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe","9/8/2026 11:12:51 AM"
"13292","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe","9/8/2026 11:12:51 AM"
"13316","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\152.0.4191.66\msedgewebview2.exe","9/8/2026 11:12:51 AM"
"3552","MsMpEng",,"9/8/2026 10:51:22 AM"
"1616","OneDrive","C:\Users\vboxuser\AppData\Local\Microsoft\OneDrive\OneDrive.exe","9/8/2026 10:55:19 AM"
"7496","OneDrive.Sync.Service","C:\Users\vboxuser\AppData\Local\Microsoft\OneDrive\26.153.0809.0004\OneDrive.Sync.Service.exe","9/8/2026 10:55:21 AM"
"1020","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","9/8/2026 11:39:51 AM"
"9740","powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","9/8/2026 11:39:46 AM"
"96","Registry",,"9/8/2026 10:51:11 AM"
"11884","Res","C:\Users\vboxuser\Desktop\MalwareLab\VIRUS\Res.exe","9/8/2026 11:39:58 AM"
"6468","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9/8/2026 10:54:24 AM"
"6504","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9/8/2026 10:52:47 AM"
"13980","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9/8/2026 11:13:15 AM"
"11328","SearchFilterHost","C:\WINDOWS\System32\SearchFilterHost.exe","9/8/2026 11:39:53 AM"
"6788","SearchHost","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","9/8/2026 10:52:47 AM"
"3604","SearchIndexer","C:\WINDOWS\system32\SearchIndexer.exe","9/8/2026 10:52:18 AM"
"2812","SearchProtocolHost","C:\WINDOWS\System32\SearchProtocolHost.exe","9/8/2026 11:36:38 AM"
